user_id,total_recent_emissions,recent_activities_count,avg_emissions_per_activity,transport_emissions,energy_emissions,food_emissions,consumption_emissions,active_days
0,132.565994857306,4,33.1414987143265,25.067136925480472,20.368196885761126,3.106077379298716,2.206325523434854,2
1,75.30218682252735,11,6.845653347502486,27.079893683621894,13.854363461336778,25.331106538948138,16.540416124238863,9
2,66.2213979100584,3,22.0737993033528,17.906279142712428,26.38001429089793,5.684655270429867,19.548762479130033,4
3,15.64864478924192,13,1.2037419068647632,2.9710717598261738,26.26355528253881,5.401568212919474,1.7996427208271915,7
4,87.35871430389895,7,12.479816329128422,5.944720034276314,9.608522654401693,18.3750004922113,7.238708369761257,9
5,115.69331953000429,13,8.899486117692637,29.698410021553425,1.3245679769152274,2.4455497612199286,26.27938349076573,2
6,123.44941788423334,9,13.716601987137038,6.955226903869037,23.633871028287196,6.195651395247159,11.134487440992276,2
7,19.528147613777556,10,1.9528147613777556,17.533055202521368,22.593086986753107,16.04393094202968,7.487554913344489,4
8,127.99785047958304,6,21.332975079930506,18.156852370922863,27.075004576995106,9.098483929572556,29.094955492462557,1
9,23.923945143817882,5,4.784789028763576,25.496225922034455,24.10132492547226,9.898996924402287,7.686500328952438,3
10,80.87031901487707,8,10.108789876859634,4.557718696119202,22.687539923580488,2.4751807053055828,26.505489032403457,9
11,54.83723871133666,5,10.967447742267332,13.5515573174784,15.44417857027558,3.0154105896883565,1.0216293417705014,2
12,106.77197728791005,13,8.213229022146926,12.46783226767422,24.515864165659643,23.36886556038478,13.754386020054778,5
13,142.9722689093172,9,15.8858076565908,27.75543010088065,8.723156880842772,7.4716388242914125,2.266606540609631,3
14,123.3912992790987,7,17.627328468442673,19.941740296274993,18.854982893747163,8.242302064910579,8.341986486623004,2
15,78.77249961545657,4,19.693124903864142,23.370761532395512,23.080362272640812,18.731459747176924,3.617371726260404,6
16,61.128653506653066,6,10.18810891777551,23.139342468208465,3.0542350227010373,11.540308990423245,13.17369988618381,4
17,82.5245274312731,11,7.502229766479373,25.80217154331869,20.539883306948315,24.703569997068904,21.80190535856977,4
